Car Type,Ori,Dest,Total KM,Per km (THB/km),Per-km price,Existing pair price,Existing pair price (min-max),Divergence (THB),Divergence (%),Trips
,,One Bangkok,41.41499999999999,37.42844340838277,1550.0989837581722,2460,"2,460-2,460",-909.9010162418278,-36.98784618869219,1
,,SAITO FOODS สุขุมวิท36,37.247,37.42844340838277,1394.097231632033,2030,"2,030-2,030",-635.9027683679669,-31.325259525515612,1
,,Thai Ooi,36.388000000000005,37.42844340838277,1361.9461987442323,2330,"2,330-2,330",-968.0538012557677,-41.54737344445355,1
,,The Hiro Group รามอินทรา,49.666,37.42844340838277,1858.9210703207384,2200,"2,200-2,200",-341.0789296792616,-15.503587712693708,1
,,จริงใจ หมูกระทะ รัชดา,86.841,37.42844340838277,3250.323454027368,2880,"2,880-2,880",370.3234540273679,12.858453264839165,1
,,จริงใจ หมูกระทะ วังหิน 44,90.78799999999998,37.42844340838277,3398.0535201602543,2990,"2,990-2,990",408.05352016025427,13.647274921747634,1
,,ซิมิรัน,81.675,37.42844340838277,3056.968115379663,2200,"2,200-2,200",856.9681153796628,38.95309615362103,1
,,นิชิฮาระ กม.16,656.124,37.42844340838277,24557.70000288174,2460,"2,460-2,460",22097.70000288174,898.2804879220218,1
,,แฟชั่น ไอซ์แลนด์,104.756,37.42844340838277,3920.8540176885454,2350,"2,350-2,350",1570.8540176885454,66.84485181653385,1
,KGS (เคียวคุโย โกลบอล),M - senko (Sushiro),43.418,37.42844340838277,1625.068155905163,2079,"2,079-2,079",-453.93184409483706,-21.834143535105195,1
,KONOIKE (โคโนอิเกะ),JPK (เจพีเค โคลด์ สโตเรจ),5.142,37.42844340838277,192.4570560059042,1200,"1,200-1,200",-1007.5429439940958,-83.96191199950799,1
,LUF (ลัคกี้ ยูเนี่ยน ฟู้ดส์),CP ลาดกระบัง,84.045,37.42844340838277,3145.67352625753,2984,"2,912-3,248",161.67352625752983,5.41801361452848,7
,,(CP RAM) ซีพีแรม ลาดกระบัง,84.045,37.42844340838277,3145.67352625753,3042.6666666666665,"2,968-3,080",103.00685959086331,3.385413877876752,3
,,CP RAMชลบุรี รวมลงของ,148.617,37.42844340838277,5562.502974023621,3744,"3,744-3,744",1818.5029740236214,48.571126442938606,1
,OKF/TUF,DC Makro Mahachai,20.628,37.42844340838277,772.0739306281198,1688,"1,688-1,688",-915.9260693718802,-54.261023067054516,1
,PACA (ALPHA Bangna KM. 22),มากุโระ Route004,36.124,37.42844340838277,1352.0650896844193,2872,"2,872-2,872",-1519.9349103155807,-52.922524732436656,1
,,มากุโระ Route009,36.611,37.42844340838277,1370.2927416243015,2297,"2,297-2,297",-926.7072583756985,-40.344242854841035,1
,PCS (ห้องเย็นแปซิฟิค),สยามพารากอน,45.120000000000005,37.42844340838277,1688.7713665862307,1800,"1,800-1,800",-111.22863341376933,-6.179368522987185,4
,,แหลมทองผลิตภัณฑ์อาหาร สาย5,23.12,37.42844340838277,865.3456116018097,1700,"1,700-1,700",-834.6543883981903,-49.09731696459943,2
,,CP ลาดกระบัง,106.316,37.42844340838277,3979.2423894056224,2883,"2,883-2,883",1096.2423894056224,38.02436314275485,1
,,ทนา,49.725,37.42844340838277,1861.1293484818332,1977,"1,977-1,977",-115.87065151816682,-5.860933308961398,1
,,เอสพานาด,159.157,37.42844340838277,5956.998767547977,2900,"2,900-2,900",3056.998767547977,105.41375060510265,1
,,แพนสยาม,10.365,37.42844340838277,387.9458159278874,2200,"2,200-2,200",-1812.0541840721125,-82.36609927600512,1
,,โอสถสภา อยุธยา,117.788,37.42844340838277,4408.621492186589,3300,"3,300-3,300",1108.6214921865894,33.59459067232089,1
,"Rhenus Warehousing Solutions, Bangna KM.19 Warehouse",Centralเชียงใหม่,716.209,37.42844340838277,26806.588025074412,9765.99,"9,766-9,766",17040.59802507441,174.48920206834546,1
,SCGN (Phase1),Va Va สิงห์บุรี เดือนตุลาคม 2568,246.438,37.42844340838277,9223.790736675033,3488,"3,488-3,488",5735.790736675033,164.44354176247228,1
,TUF,DC Makro Wang Noi,110.66,37.42844340838277,4141.831547571637,3472,"3,472-3,472",669.8315475716372,19.292383282593235,1
,TUF โรงหมึก,DC Makro Wang Noi,216.27,37.42844340838277,8094.649455930942,3286,"3,286-3,286",4808.649455930942,146.3374758347822,2
,,DC Makro Mahachai,214.606,37.42844340838277,8032.3685260993925,1908,"1,908-1,908",6124.3685260993925,320.98367537208554,1
,UKF (สยาม ยูเคเอฟ),โซนสมุทรสาคร,1.747,37.42844340838277,65.3874906344447,1500,"1,500-1,500",-1434.6125093655553,-95.64083395770369,3
,,Alfredo Enterprise (อัลเฟรโด อยุธยา),126.369,37.42844340838277,4729.794965073922,4500,"3,900-5,100",229.79496507392196,5.106554779420488,2
,,NSL Food ชลบุรี อมตะนคร เฟส 8,119.507,37.42844340838277,4472.9609864056,4450,"3,950-4,950",22.960986405600124,0.5159772225977556,2
,,ห้องเย็นเจ๊เพ็ญ,14.874,37.42844340838277,556.7106672562853,1500,"1,500-1,500",-943.2893327437147,-62.88595551624765,2
,,ซีเทค บางปู,65.86,37.42844340838277,2465.037282876089,2600,"2,600-2,600",-134.9627171239108,-5.190873735535031,1
,คลังการบินไทย สนามบินสุวรรณภูมิ,PACS (แปซิฟิค สระบุรี),148.669,37.42844340838277,5564.449253080858,4000,"4,000-4,000",1564.4492530808584,39.111231327021464,1
,,PCS (ห้องเย็นแปซิฟิค),72.534,37.42844340838277,2714.834714183636,2750,"2,750-2,750",-35.16528581636385,-1.2787376660495946,1
,คิงฟิชเชอร์ มหาชัย,JPK (เจพีเค โคลด์ สโตเรจ),64.849,37.42844340838277,2427.1971265902143,2530,"2,530-2,530",-102.80287340978566,-4.063354680228682,1
,ท่าเรือ คลองเตย,แชมป์เอช บางคอแหลม,10.786,37.42844340838277,403.7031906028165,2200,"2,200-2,200",-1796.2968093971836,-81.64985497259926,2
,นิ่มซีเส็ง สาขาตลาดไทย,สยามฟู้ด (ศูนย์กระจายสินค้าโลตัส ลําลูกกา),31.812,37.42844340838277,1190.6736417074726,2380,"2,380-2,380",-1189.3263582925274,-49.97169572657678,1
,นิ่มซี่เส็งขนส่ง ตลาดไทย,DC โลตัส ลำลูกกา,31.812,37.42844340838277,1190.6736417074726,2160,"2,160-2,160",-969.3263582925274,-44.87622029132071,1
,บริษัท ทิมฟู้ด จำกัด,ไทยโยโกเรสำโรง,111.584,37.42844340838277,4176.415429280983,1950,"1,950-1,950",2226.4154292809826,114.17515021953757,1
,บริษัท แอดวานซ์ มีท จำกัด ปทุมธานี,PCS (ห้องเย็นแปซิฟิค),86.6,37.42844340838277,3241.3031991659477,1626.17,"1,626-1,626",1615.1331991659476,99.32130091970382,1
,ปั้ม PT มหาชัย,HAVI,1763.995,37.42844340838277,66023.58703017017,3857,"3,857-3,857",62166.587030170165,1611.7860261905669,1
,มารีน โกลด์,เซ็นทรัลเวิลด์,103.781,37.42844340838277,3884.361285365372,2900,"2,900-2,900",984.3612853653722,33.94349259880593,1
,สุวรรณภูมิ,สยามไบโอไซเอนซ์,65.732,37.42844340838277,2460.246442119816,3200,"2,950-3,700",-739.753557880184,-23.11729868375575,3
